LocationID,FeatureID
CUVAWetlnd127,241K (VK3)
CUVAWetlnd128,241VK4
CUVAWetlnd129,242VK1
CUVAWetlnd130,242VK2
CUVAWetlnd131,365BM2
CUVAWetlnd132,365BM3
CUVAWetlnd133,365BM4
CUVAWetlnd134,365BM5
CUVAWetlnd135,365BM6
CUVAWetlnd136,526
CUVAWetlnd137,526SB1
CUVAWetlnd138,526SB2
CUVAWetlnd139,526SB3
CUVAWetlnd140,968PV968
CUVAWetlnd141,969
CUVAWetlnd142,970PV
CUVAWetlnd143,1043
CUVAWetlnd144,1047
CUVAWetlnd145,1049
CUVAWetlnd146,977FP1
CUVAWetlnd147,977FP2
CUVAWetlnd148,977FP3
CUVAWetlnd149,977FP4
CUVAWetlnd150,977FP5
CUVAWetlnd151,1079RS2
CUVAWetlnd152,124
CUVAWetlnd153,398
CUVAWetlnd154,554
CUVAWetlnd155,683
CUVAWetlnd156,970
CUVAWetlnd157,1427
CUVAWetlnd172,28
CUVAWetlnd173,29
CUVAWetlnd174,30
CUVAWetlnd175,32
CUVAWetlnd176,39
CUVAWetlnd177,43
CUVAWetlnd178,56
CUVAWetlnd179,192
CUVAWetlnd180,305
CUVAWetlnd181,306
CUVAWetlnd182,307
CUVAWetlnd183,309
CUVAWetlnd184,310
CUVAWetlnd185,311
CUVAWetlnd186,317
CUVAWetlnd187,343
CUVAWetlnd188,351
CUVAWetlnd189,363
CUVAWetlnd190,413
CUVAWetlnd191,416
CUVAWetlnd192,422
CUVAWetlnd193,623
CUVAWetlnd194,627
CUVAWetlnd195,669
CUVAWetlnd196,676
CUVAWetlnd197,692
CUVAWetlnd198,697
CUVAWetlnd199,743
CUVAWetlnd200,748
CUVAWetlnd201,867
CUVAWetlnd202,885
CUVAWetlnd203,887
CUVAWetlnd204,889
CUVAWetlnd205,927
CUVAWetlnd206,939
CUVAWetlnd207,941
CUVAWetlnd208,947
CUVAWetlnd209,950
CUVAWetlnd210,951
CUVAWetlnd211,953
CUVAWetlnd212,957
CUVAWetlnd213,1485
CUVAWetlnd214,1007
CUVAWetlnd215,1017
CUVAWetlnd216,1034
CUVAWetlnd217,1036
CUVAWetlnd218,1058
CUVAWetlnd219,1068
CUVAWetlnd220,1069
CUVAWetlnd221,1070
CUVAWetlnd222,1620
CUVAWetlnd223,1188
CUVAWetlnd224,1196
CUVAWetlnd225,1205
CUVAWetlnd226,1221
CUVAWetlnd227,1351
CUVAWetlnd228,1364
CUVAWetlnd229,1468
CUVAWetlnd290,1622KR
CUVAWetlnd291,1627KR
CUVAWetlnd292,540SF2
CUVAWetlnd293,540SF1
CUVAWetlnd294,540SF3
CUVAWetlnd295,540SF4
CUVAWetlnd128,242VK4
CUVAWetlnd291,1627KR2
CUVAWetlnd290,1622KR1
CUVAWetlnd291,1627KR1 

